Week,9:00-9:50,9:50-10:05,10:05-11:45,Completed
1,[Syllabus](https://svenbuerki.github.io/Genomics-Bioinformatics/index.html) and [Chapter 1 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#35_Lecture),BREAK,[Chapter 1 - Group activity](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#36_%F0%9F%A4%9D_Group_Activity:_Exploring_Genome_Diversity_and_Completeness),✓
2,[Chapter 1 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#35_Lecture),BREAK,[Chapter 2 - Group activity](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#46_%F0%9F%A4%9D_Group_Activity:_Reading_the_Giant_Panda_Genome_Paper),✓
3,[Chapter 1 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#35_Lecture) (starting at slide 27),BREAK,[Chapter 2 - Quiz](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#47_%F0%9F%A7%A0_Quiz:_Planning_a_Eukaryotic_Genome_Assembly) (40 minutes) -- [Chapter 2 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#45_Lecture) (30 minutes) -- [Mini-Report 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#47_Mini-Report_1) (30 minutes),✓
4, [Chapter 2 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#45_Lecture) (starting at slide 13),BREAK,[Mini-Report 3 - Group activity](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#44_%F0%9F%A4%9D_Group_Activity:_Interpreting_DNA_Evidence_in_a_Species_Study) (1 hour 20 minutes) -- [Mini-Report 2](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini2) (20 minutes) ,✓
5,Guest lecture (Dr Jim Beck -- BSU Research Computing),BREAK,Students work on [Mini-Report 2](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini2),✓
6, [Chapter 2 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#45_Lecture) (starting at slide 33) and [Chapter 3 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#55_Lecture),BREAK,[Mini-Report 3 - Introduction and Part 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3) ,✓
7,[Mini-Report 3 - Part 2](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3) ,BREAK,[Mini-Report 3 - Parts 2 and 3 until end of section 4.11.4](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3) ,✓
8,[Mini-Report 3 - PART 3](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3) focusing on running a Maximum Likelihood phylogenetic analysis and introducing the Newick tree format,BREAK,[Mini-Report 3 - PART 3](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3) focusing on building the *Vanilla* phylogenetic tree and working on [individual report](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#46_Writing_your_report),✓
9,[Mini-Report 3 - Group Activity on Data Interpretation](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#412_%F0%9F%A4%9D_Group_Activity:_Phylogenetic_Data_Interpretation_Workshop),BREAK,[Lab - Group Activity](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html),✓
11,[Lab - Mining genome](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html): Complete group activity 1 and group activity 2,BREAK,[Lab - Mining genome](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html): Complete group activity 2 and [Remote Computing and Bash Tutorials](https://svenbuerki.github.io/Genomics-Bioinformatics/Tutorials.html),✓
12,[Lab - Mining genome](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html): [Remote Computing and Bash Tutorials](https://svenbuerki.github.io/Genomics-Bioinformatics/Tutorials.html),BREAK,[Lab - Mining genome](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html): Bioinformatics modules [1](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html#10_Module_1) and [2](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html#11_Module_2) ,✓
