Term,Definition
Genomics,"The study of genomes, the complete set of genetic material within an organism (i.e. nuclear, mitochondrial and chloroplastic genomes). Genomics uses an approach combining next-generation sequencing (NGS) and bioinformatics to assemble and annotate entire genomes. "
Genome,"A genome is the entire genetic complement of a living organism. Each organism possesses a genome containing the biological information needed to construct and maintain a living example of that organism. Most genomes are made of DNA (deoxyribonucleic acid), but few viruses have RNA (ribonucleic acid) genomes."
DNA,Deoxyribonucleic acid.
RNA,Ribonucleic acid.
Genetic code ,The genetic code specifies how the nucleotide sequence of an mRNA is translated into the amino acid (AA) sequence of a protein. Different genetic codes depending on lineages. 20 amino acids: high redundancy (except Met & Trp). Start codon: Met (sometimes Trp in cpDNA).
Next-Generation Sequencing (NGS),"Next-Generation Sequncing (NGS) is the term applied to methods enabling thousands of millions of DNA fragments to be sequenced in parallel in a single experiment. NGS outperformed Sanger sequencing, which was able to sequence only individual DNA fragments, each fragment obtained by a different PCR."
Polymerase chain reaction (PCR)," Method widely used to rapidly make millions to billions of copies of a specific DNA sample, allowing scientists to take a very small sample of DNA and amplify it to a large enough amount to study in detail."
Amino acid (AA),One of the constituents of proteins; proteins are polymers of amino acids.
Bioinformatics,The use of computer methods in studies of genomes.
Whole-genome sequencing (WGS),The process of determining the complete DNA sequence of an organism's genome at a single time.
Targeted re-sequencing,"Sequencing of selected regions of a genome; for instance, a subset of genes (using either baits or amplicons). This approach is now commonly applied for phylogenetic inferences. "
Exome sequencing,Sequencing only the portions of a genome corresponding to expressed proteins.
RNA-Seq,"Sequencing RNAs in a sample. RNA sequencing is carried out by reverse transcribing the RNAs, and sequencing the complementary DNA (cDNA)."
Single-end sequencing,Technique in which sequence is reported from only one end of a fragment.
Paired-end sequencing,Technique in which sequence is reported from both ends of a fragment (with a number of undetermined bases between the reads that is known only approximately).
Mate pair sequencing,"Technique in which sequence is reported from two ends of a DNA fragment, usually several thousand base-pairs long."
Phred quality score,Measure of the quality of the identification of the nucleobases generated by automated DNA sequencing.
Holoploid 1C-value (abbreviated to 1C-value),"This term refers to the
amount of DNA in the unreplicated gametic nucleus (e.g.,
pollen or egg cell of angiosperms) regardless of the ploidy
level of the cell."
Synteny,Conservation of blocks of genes/DNA between two or more sets of chromosomes belonging to different species.
N50,Measure to describe the quality of assembled genomes that are fragmented in contigs/scaffolds of different length. The N50 is defined as the minimum contig/scaffold length needed to cover 50% of the genome. 
Orthologous genes,Genes diverging after evolution gives rise to different species (i.e. they follow speciation events).
"Umami, or savory taste","One of the five basic tastes, which has been described as brothy or meaty and is associated with glutamate."
Cryptic species,"Difficult to detect and, in reference to species, referring to difficulty in diagnosing or recognizing morphologically
indistinguishable species without DNA barcode data. One of the explicitly targeted applications of DNA barcoding is that of detecting cryptic species."
Clade,"This term refers to a monophyletic (natural) group, namely a hypothetical common ancestor and all its descendants, as identified by uniquely derived
and unreversed synapomorphies. A clade is visualized on a cladogram as a node and all its subtended terminals."
Cluster,"A group of individuals or genes visualized as terminals on a tree or dendrogram and used in place of “clade” whenever analyses are conducted
below the species level. A group of organisms is said to cluster in an analysis when they share an exclusive node. Because clustering algorithms may be
applied below the species level where relationships are not strictly nested, clusters are not monophyletic in the strict sense, only a graphic one. Cluster is also
a term used to define closely related organisms in principal components analysis or STRUCTURE."
Phylogenetic tree,"Any bifurcating graphic or dendrogram intended to summarize comparative data and interpreted to reflect common ancestry. Since
“tree” refers to the graphic, it is not strictly synonymous with “phylogeny” but may be treated equivalently under the explicit assumptions of an underlying
nested hierarchy generated by descent with modification. Trees based on recombinant elements of individual conspecific organisms may violate these
assumptions but are still be used as provisional tools for approximating species boundaries. Phylogenetic trees can be generated using any number of
methods as described above; the term “clade” is properly used with reference to derived or diagnostic characters and thus “cladogram” is generally reserved
for trees generated under parsimony."
Maximum Likelihood (ML),"A class of parameterized tree-building approaches that incorporates probabilities of character state change based on
frequentist statistics among different classes of character data (e.g., transitions vs. transversions, codon positions, etc.). The likelihood of the data given a
tree and a model is computed to find an optimal tree for a dataset."
BLAST,"The Basic Local Alignment Search Tool uses a query sequence and large database to find regions of local similarity between sequences. The
program is at the heart of the National Center for Biotechnology Information’s sequence search engine, compares nucleotide or protein sequences to the
ever-growing sequence databases and estimates the statistical significance of matches."
Distance/similarity (Genetic),"A phenetic measure of comparison which represents the overall similarity of two organisms. Operationally, a pairwise measure
generated from sequence data, most commonly via the Kimura two parameter (K2P) model which specifies probabilities of different kinds of character state
(base pair) change. The lack of equiprobability is used to correct the distance measure for rate heterogeneity of sequence change."
Phylogenetic support,"The strength of inference for nodes in a phylogenetic tree are assessed using support measures. Higher the support measures
connote greater reliability for a given hypothesized relationship. Bremer support (maximum parsimony based), bootstrap (distance, parsimony, likelihood) and
Bayesian posteriors are all different kinds of support measures used in phylogenetic analysis."
Specimen identification/determination,"The process of using morphological or molecular diagnostics or other organismal attributes to assign biological
specimens taxonomic names. Not to be confused with species delimitation or discovery."
Species circumscription/delimitation/delineation,"The iterative process of collating potentially diagnostic character data to proscribe observational
boundaries between two or more species. Species delimitation methods are broad and require a criterion specified a priori. Delimitation is
used interchangeably with delineation, circumscription and demarcation."
Complementary DNA sequence,"Nucleic acid sequence of bases that can form a double- stranded structure by matching base pairs. For example, the complementary sequence to C-A-T-G (where each letter stands for one of the bases in DNA) is G-T-A-C."
Reverse DNA sequence,It is the sequence of the upper strand in the direction from its 3′- to its 5′-end. The reverse complement sequence is the sequence of the lower strand in the direction of its 5′- to its 3′-end.
